Signature Div.,Transition Cov.,Action Inconsist.,Mutual Info.,method,split,n_epi
9.316069814871671,2.438698474993708,0.947586836641105,1.4001430142788713,teleop,20,20
12.39146593560642,2.9648274130443673,1.0212154849698165,1.0400293031849008,teleop,40,40
13.939215043819182,2.993969527122638,1.0700236379884949,0.9114709930845972,teleop,60,60
14.418715739034663,2.80556043326677,1.10394570806772,0.848340631070446,teleop,80,80
14.743287517930932,2.441420696430211,1.1470541734384194,0.877081399268766,teleop,100,100
6.855961526005922,-5.054037375815521,1.3864526093647132,2.478525895612723,CaP,20,20
7.61504479562936,-5.28908372819081,1.2147270532220862,2.477534458870309,CaP,40,40
7.961012408554636,-6.071770865447058,1.1844823295753768,2.537618922090804,CaP,60,60
8.343810377748431,-6.149435072214369,1.1361326737357005,2.4865467070547904,CaP,80,80
8.675144980428938,-6.273613349134988,1.0854351259017336,2.4831229880820045,CaP,100,100
8.300446649605338,4.592468822736931,1.3856577819839875,0.9992105305259695,Ours,20,20
9.950409144929164,5.1553053456520574,1.4250403551397972,0.7428861964425266,Ours,40,40
10.867128132017164,4.651554023254967,1.3881663546233343,0.6708390484451439,Ours,60,60
11.036460738866955,2.896841903206811,1.3952653586245385,0.716003929527238,Ours,80,80
11.234175074592178,2.178339754234977,1.3938464938361164,0.7735413599380152,Ours,100,100
