Signature Div.,Transition Cov.,Action Inconsist.,Mutual Info.,task,method,split,n_epi
9.316069814871671,2.438698474993708,0.5110660519108694,1.0021252044331526,T1,teleop,20,20
12.39146593560642,3.6076223587087615,0.5161194305892719,0.6856927298089524,T1,teleop,40,40
13.939215043819182,3.490900558114574,0.5312947477887812,0.6446312372807359,T1,teleop,60,60
14.418715739034663,2.616258181045361,0.5210092234235578,0.6325808317748116,T1,teleop,80,80
14.743287517930932,2.408875017468696,0.5213571614438884,0.6513983236732024,T1,teleop,100,100
6.855961526005922,-4.678390571130094,0.4013474297559932,1.9498556021475686,T1,CaP,20,20
7.61504479562936,-5.634370572882172,0.3586964513944806,2.0098125152711095,T1,CaP,40,40
7.961012408554636,-6.3374194255036285,0.33274270012453006,1.9870833931483975,T1,CaP,60,60
8.343810377748431,-6.706739855813251,0.3353642426515136,2.0752260586105997,T1,CaP,80,80
8.675144980428938,-6.664299897433511,0.3306759508330147,2.03719513454827,T1,CaP,100,100
8.300446649605338,5.008709145350123,0.7344078488721447,0.640552583543462,T1,Ours,20,20
9.950409144929164,5.354502343310395,0.6957215376781898,0.46055457678916056,T1,Ours,40,40
10.867128132017164,4.721628993144533,0.6840198657925025,0.4017910953226753,T1,Ours,60,60
11.036460738866955,2.8213796399541797,0.6659768087854026,0.3913814011899124,T1,Ours,80,80
11.234175074592178,2.1283498214353687,0.6805372098658671,0.45327754013469956,T1,Ours,100,100
8.839023825110779,2.5058365141141117,0.48328300996980394,1.2336622755390385,T2,teleop,20,20
12.771817408126719,3.593893656638655,0.49656078621147187,0.7869544174723568,T2,teleop,40,40
14.229720563987689,3.2010611848343657,0.49891178024466076,0.720207578020176,T2,teleop,60,60
14.741591435257975,3.3417623141800723,0.5114132155443706,0.6520760668068704,T2,teleop,80,80
15.170077363312663,3.712744158964265,0.5224790837594805,0.6086855165557665,T2,teleop,100,100
7.365515100181921,-2.411777889632723,0.40963056806901976,1.6585222820430463,T2,CaP,20,20
9.211486668691158,-3.154168220344382,0.40529495778325036,1.6463595126668693,T2,CaP,40,40
9.786369889174775,-4.22115615361112,0.3865752289274262,1.6627919896763874,T2,CaP,60,60
9.937794827670801,-4.3631312363910135,0.3606855246348323,1.7219022038481002,T2,CaP,80,80
10.016276347153049,-4.502744137482897,0.34930555669803975,1.677153280593811,T2,CaP,100,100
8.022947304622976,3.718080698104672,0.6333429463153806,0.5394927576539459,T2,Ours,20,20
10.69942447862651,3.5900228850150375,0.6369739286451619,0.3159679663907369,T2,Ours,40,40
12.463743033389155,3.322398742207093,0.6652276119356173,0.24615838653191702,T2,Ours,60,60
12.782369092341911,2.726330532381845,0.651525366863263,0.19735012511957528,T2,Ours,80,80
13.14194560260294,2.8417686714971513,0.6662473635991192,0.23704524720217712,T2,Ours,100,100
10.006992239526669,2.5723226009059577,0.4426110297634445,0.7295533341851037,T3,teleop,20,20
13.201151224124619,2.6414671743859808,0.4516288869789617,0.4455858206522567,T3,teleop,40,40
14.835907275802295,2.5972675866177504,0.45540088988890354,0.38791480291249947,T3,teleop,60,60
15.32667336856573,2.504971229744653,0.47304933093407525,0.38845173720376813,T3,teleop,80,80
15.783773543973828,2.106135496552467,0.4758208377367981,0.3534784822677821,T3,teleop,100,100
6.98427555800516,-1.887255989191833,0.3891293930390726,1.567156995107986,T3,CaP,20,20
8.604317264179045,-3.538021313924429,0.37326254265820735,1.567633418998601,T3,CaP,40,40
8.694181004273617,-3.674260629359435,0.34661485918807144,1.6408552433304102,T3,CaP,60,60
8.759155186323108,-4.265020182312894,0.33296413569824534,1.637838626409705,T3,CaP,80,80
9.030638588524331,-4.008354027990461,0.3275333313269262,1.658464274518189,T3,CaP,100,100
9.453957985044488,3.6936762361786517,0.6339089033077212,0.4414692495712025,T3,Ours,20,20
10.302973777319496,2.8159539299613368,0.5674084430918626,0.2674684289472342,T3,Ours,40,40
11.811998141301817,3.119154537035576,0.5645545617146126,0.16779488251189179,T3,Ours,60,60
12.460834795336405,3.436180558746586,0.5844345215842307,0.06980995659110789,T3,Ours,80,80
11.931127674229213,3.253885241146418,0.5803198521856632,0.08833725457426311,T3,Ours,100,100
10.032862673682963,3.235208492702295,0.49409212817361514,0.8167060846627869,T4,teleop,20,20
13.210081011088727,4.009329320755729,0.5151601164528368,0.5313841498869802,T4,teleop,40,40
14.911423597991964,3.8239124382687377,0.5264826854275662,0.5072851008843049,T4,teleop,60,60
15.372033124651198,3.583586319856103,0.5213895250772183,0.5127356413060955,T4,teleop,80,80
15.819248182946144,3.386376137466118,0.5228081039942839,0.39320029314830407,T4,teleop,100,100
4.813326589990388,-2.023056684658733,0.47987980633376404,1.2372422921778439,T4,CaP,20,20
6.262228505150153,-2.8134408835221008,0.4449492855334273,1.2551519246016412,T4,CaP,40,40
6.721145710449044,-3.1461281913979304,0.42692179809912834,1.2447801525670874,T4,CaP,60,60
6.89517872953885,-2.8502901777161123,0.4280268786756767,1.1823449401437056,T4,CaP,80,80
6.968006687176693,-2.7131500183189603,0.4137383864537486,1.2320744401166408,T4,CaP,100,100
5.652887866160491,3.4094429522934915,0.5545881449263789,0.3480158244267475,T4,Ours,20,20
8.765116980014014,3.3472920191863214,0.5911620471608547,0.03233598561314821,T4,Ours,40,40
9.415074148771986,3.5051097807948555,0.5894956853502463,0.0,T4,Ours,60,60
10.28137180083225,3.5874937703887593,0.5954046786062579,0.0,T4,Ours,80,80
11.218199423593248,3.7887527637025102,0.6054253100421251,0.0,T4,Ours,100,100
7.892322943187525,-2.925105186977196,0.35856310549754605,1.5631409671510532,T5,teleop,20,20
11.187546317258771,-1.45828968648767,0.33960769156703907,1.107220103498089,T5,teleop,40,40
12.135465098050716,-0.8352852231157177,0.3295190785675543,0.9236596503529562,T5,teleop,60,60
12.777526063794596,-0.776256994791356,0.3397595301445305,0.9009301254565347,T5,teleop,80,80
12.997328728077184,-1.2165136737612903,0.34390887676685455,0.7626080038669993,T5,teleop,100,100
4.734194907635956,-6.254436431969743,0.34718374260833884,1.8860402868315784,T5,CaP,20,20
5.250235549352731,-6.474456122731266,0.29409775110100944,1.989943931855187,T5,CaP,40,40
5.409063636896134,-6.95954553636945,0.28524072982122145,1.9948873450777551,T5,CaP,60,60
5.282760300422124,-7.967569145413674,0.2739972396990969,2.032230955143646,T5,CaP,80,80
5.208524357756849,-7.770853404028547,0.2705856018798816,2.0977473902703085,T5,CaP,100,100
6.014124606464781,-0.7627835053849852,0.5042279621043376,1.0492938516445367,T5,Ours,20,20
8.130333936429327,-0.4751919209311497,0.49216017427154546,0.8730068992477253,T5,Ours,40,40
8.412042845400796,-1.1872649946827076,0.5040972856762599,0.9165512229363628,T5,Ours,60,60
8.74257183174898,-2.1249465678720734,0.4887792381880165,0.8149258407450777,T5,Ours,80,80
9.205903493620422,-1.7528562177327318,0.47105100643420145,0.8364330315139075,T5,Ours,100,101
4.68178793796075,2.122546564256308,0.6630173656894428,0.6056528434571717,T6,teleop,20,20
5.035853014150465,3.126425110973729,0.6616550845986582,0.3769653704801623,T6,teleop,40,40
5.395989593476014,2.89322366566849,0.6755779992789414,0.24658389751428977,T6,teleop,60,60
5.511422983276733,2.9485476800445616,0.6720026164657457,0.21488163853211972,T6,teleop,80,80
5.528268230307473,2.2248947797220353,0.690157951364166,0.14943284660242284,T6,teleop,100,100
5.040920225291461,-11.890021643344149,0.23226615409060455,2.046034032396367,T6,CaP,20,20
5.435920175725834,-12.858922065734092,0.20472437135592592,2.0938422836947854,T6,CaP,40,40
5.670614534557335,-14.253472501199948,0.19971706597446004,2.145297908759084,T6,CaP,60,60
5.7232613801914685,-14.978534516104997,0.18959707834007608,2.12403621136355,T6,CaP,80,80
5.9830921400442705,-15.48053959004043,0.18497971443195713,2.1647414379425696,T6,CaP,100,100
5.202778497390283,0.3690636486642589,0.5532599208947013,0.8559709484242717,T6,Ours,20,20
6.046733151220449,0.8990442408134909,0.5728607033272727,0.7161262665715462,T6,Ours,40,40
6.62931852157026,-0.005818183899575224,0.5402608432938384,0.6758305788426764,T6,Ours,60,60
6.953250199130499,-0.3396481996023404,0.5323254833728478,0.6973835938160597,T6,Ours,80,80
6.862156799007151,-1.1315889689064091,0.5060107217608812,0.62619022985999,T6,Ours,100,100
9.998617734686833,1.9711797729538967,0.49212006309737655,0.5492767220924648,T7,teleop,20,20
12.055698976566743,2.731267580950284,0.5223780701636915,0.43015856332894487,T7,teleop,40,40
13.477968844327965,2.212432145963737,0.5174475121644554,0.5480731106023331,T7,teleop,60,60
13.9867156350076,1.6495147458694062,0.500798682730253,0.35772723288531516,T7,teleop,80,80
14.561819260699373,1.3674300343215764,0.5238174060559511,0.41386834444717735,T7,teleop,100,100
5.336243412436558,-5.864079749826366,0.3966833453091342,2.0551563890547007,T7,CaP,20,20
5.920877567503908,-6.3562330900249036,0.3161903294958365,2.129458924158679,T7,CaP,40,40
6.185605704847389,-7.474553841714479,0.29708723963747535,2.117995332584795,T7,CaP,60,60
6.269044410394801,-7.805449207335179,0.27269512451614425,2.117256239629519,T7,CaP,80,80
6.458562860773695,-8.699578173053936,0.26599686220110397,2.1342266354774413,T7,CaP,100,100
7.1810069055098165,1.069148815313782,0.4869244373698425,1.1151745033868004,T7,Ours,20,20
